Sl. No,Text Review,Sentiment
1,"Our stay at this amazing was beyond all our expectations. The service levels standards
and detail to service was beyond all our expectations. From the time we arrived to the time we left both management and staff were incredible. Facilities and amenities of the highest standard",1
2,"It was a pleasure staying at the Taj Exotica. The hotel is laid out over a mix of lush greens in the front and dense landscaping around the villa rooms. Food is excellent throughout. We had a great meal at Li Bai and at Miguel, we got a great demo of excellent Italian food. Children's activities are an integral part of the experience. Very unlike a small 'kids play area' as in most hotels, TEX KIDS as they call it is a mini playschool by itself. They run 2-3 different activities plus a movie every day. For the grownups, there are yoga sessions, dance classes and enough sports options to last a fortnight! Archery, golf and cricket are standouts. A special mention of Jai at Eugenia, Shailesh at Li Bai, Rakesh, the yoga instructor and finally, Kunal at the front desk.",1
3,"The best part about this hotel is that it truly demonstrates the humble yet sound service culture of Taj, one of the world's finest hotel companies. Every bit of the hotel has their distinct stamp and the property is one of the most well-maintained that we have seen - given that it is not brand new! Lets look at all aspects:

1. Rooms - are spacious with all amenities that you may need. Just the perfect gardens behind the balconey (ground level works best for that)
2. Housekeeping - very prompt, never say no attitude. Turndown of course is a given in such properties.
3. Breakfast - elaborate spread, all cuisines, many options, works best for kids who may or may not stick to one cuisine. Surprisingly, the live counters were super quick and efficient .. no delays reported by anyone .. a lot of staff members available, which can be annoying if you just want to sit and eat without someone asking ""do you want something"" .. having said that, turnaround is super quick.
4. Beach - clean, less crowded, very fine sand, safe, well-serviced.
5. Pool - quite big .. leela kovalam was better because it was an infinity pool . but this one has a separate spacious kids pool and guess what, a water slide for them .. addictive!
6. Restaurants - all of them are wonderful .. excellent chefs and recipes .. 2 restaurants (Eugenia & Miguel Arcanjo - a celebrity chef from Taj Palace, Bombay) are dedicated to specific personalities and that makes them special .. Li Bai oriental cuisine was awesome, with a pepper icecream as well.. Lobster Shack had a good sizzler offering + catch of the day in excellent ambience of the beach
7. Activities - a lot of options like Archery, Cycling, indoor games, Tennis, Yoga Center, Spa, Golf, Cricket, etc. I have waited for a long time in other hotels for the Golf Carts but here it was quite efficiently managed .. except for once or twice, the carts were well on time and quick to attend.
8. Kids play area - staffed with 2 ladies, with activities everyday, movie screenings, slides and other games
9. Location - we did not leave this hotel even once in the 5 days that we were there .. so not sure if the location is good or bad :)
10. Business Center - i had to use it for some work, very well made peaceful place, good connectivity, excellent board room

So overall, 5 relaxing days .. always a busy property but still not chaotic .. very peaceful .. smooth service .. no hiccups .. when the staff is always eager to help.

I need to mention Mr. Manoj Mishra and his team led by Mr. Narayan who made the stay comfortable for us.
Also the front desk team, the check-in process started from Airport and as we entered the hotel, everyone was prepared for our check-in which means they were all informed about our arrival, pickup, timing of alighting at the hotel, etc.

So no cribs, no complaints. Make sure you bicycle through the property, spend enough time on the beach & pool and have some non-buffet exotic dishes at their restaurants.

Spoilt for now.",1
4,"We stayed at this hotel as a 3 night extension to a guided tour of India. We travelled with Voyages Jules Verne (VJV), the whole trip was a fantastic experience. We had spent the previous night at The Taj Mahal Palace Hotel in Mumbai and were very disappointed with our experience there - it did not live up to our expectations; a separate review will be posted of our stay there.
From the minute we arrived at the Taj Exotica everything was magical. We were greeted with a welcome drink and, as we were early, we sat in the bar for about 40 minutes until our room was ready. The service throughout the stay was impeccable. We were driven to our room in a little buggy. Our room was enormous yet cosy and comfortable. Our VJV tour guide who had met us at the airport even rang after 1 hour to check that we had settled in ok. Our room had its own garden area and included a hammock for relaxing in the shade. The first night we dined at the Lobster Shack overlooking the beach and a very helpful waiter, Flavian, helped us select our main course from the live seafood in the tank. He even recognised us when we went to the bar the following morning for our 11am drink and knew our room number and what we liked to drink - outstanding service!
We were also looked after very well by Chayanika in the buffet restaurant. We were only there 3 nights but she made an effort to get to know us and always found us a good table to sit at. I recommend the Kathi Kebab for lunch and the Dosa for breakfast- extremely tasty! It was surprising to see some European tourists sticking to very plain food - they were missing out on so much.We did not eat at any of the speciality restaurants as the food in the buffet restaurant was so good. The fresh Mango juice was delicious and all the food was cooked form products that were in season.
The grounds surrounding the hotel are green and full of flowers. There is a small course and cricket matches arranged most afternoons. The swimming pool was clean and at 4pm every day we were given free ice creams - a nice touch. You can also sit on the beach; the sea is warm and was fun to swim in as it has some waves. Pool towels are plentiful and the security guards check you in and out as you walk down to the beach. 
This hotel is so good that we have already booked to go back next year and have persuaded friends to join us. I just hope we get the same room as it was in a perfect location.It is unusual for us to go somewhere more than once so this tells you how good it is. This is quite possibly the best hotel in the world!",1
5,"service is quick. clean room, tasty food. ambience is beautiful. went with frnds. stayed here for few days, people can stay with their family or frnds. beautiful places nearby. it is located in benaulim,",1
6,"Fabulous property, well maintained, good and helping staff. From 20 May 2016 we stayed in this property for four nights. Staff is excellent, they are there to help u all the times, housing keeping is prompt. Front desk and business center staff are helpful that they make ur stay comfortable. Lot of choices in food, staff in restaurants are so nice they treat u like ur at home. Somehow I forgotten my specs at swimming fool area next day they returned to me, nice people, u can trust them. They provide electric car for in house transport, drivers of the same are so good they always enquire u for drop. Special mentioned about one driver Mr. Sanju he was so cooperative and helpful. All this make our stay excellent and we enjoyed lot. This is place worth visiting, and we will definitely visit again.
",1
7,"First we like to start by saying this is a fabulous resort. Our experience could not have been better. From friendly staff, to exotic foods from all the restaurants onsite. We so enjoyed the wonderful grounds keeping, which was immaculate. Although, we have found that the bedding situation (mattresses) mainly seem to be the desired style for the east continent with firmness, being they are not so comfortable. However manageable. Anyhow, it was a vacation worth mentioning on the trip advisor site. We went during off season but this was not a major concern as there is plenty to do on the grounds with activities being offered by the resort. The children can be kept busy at Tex kids, and there is a variety everyday for the children. Bicycling, archery, tennis, table tennis, are just a few to mention to keep those minds going. There is not a babysitting system available so if you bring smaller children you must manage with them during activities. Overall, we had a pleasant experience at this resort and if we come back to India, we may return to Goa at the Tal",1
8,"Wonderful place. Super spacious. Comfortable villas. Food is above average and can be better. One of the must visit places in the quiet areas of Goa. Away from the usual Goa tourist traffic. Best time to visit : winters 
The staff is good and very helpful.",1
9,It was a very good experience in that resort. When you entered they will treat you like queen or king or else prince n princess. They will not only to take of you but they are there whenever you needed them to be there. Otherwise u have your own spece especially for couple. You must visit it once you will definitely enjoy it. N the food was too delicious. Very neat n clean the looby area n all over the resort.,1
10,"The hotel location is just fantastic. The staff, right from those who welcome you to those who help you for breakfast, at your rooms, at the pool, at various restaurants and those who help you check out, are just amazingly wonderful people.
",1
